dmf,therapeutic_class,country,year
MF 030216,Cardiovascular Agents,China,2016
MF 016017,Cardiovascular Agents,Italy,2002
MF 015913,Inflammatory Bowel Disease Agents,Spain,2002
MF 018465,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2005
MF 029619,,China,2015
MF 030156,,United States,2016
MF 023226,Anticonvulsants,Italy,2009
MF 030157,Electrolytes/Minerals/Metals/Vitamins,United Kingdom,2016
MF 019020,,India,2006
MF 017235,Ophthalmic Agents,Italy,2004
MF 033296,Anticonvulsants,India,2018
MF 021196,Electrolytes/Minerals/Metals/Vitamins,Germany,2007
MF 021196,Anesthetics,Germany,2007
MF 021196,Dermatological Agents,Germany,2007
MF 028888,Cardiovascular Agents,India,2015
MF 033348,Cardiovascular Agents,India,2018
MF 032794,Cardiovascular Agents,India,2018
MF 022686,Dental and Oral Agents,United States,2009
MF 033462,Anesthetics,China,2018
MF 033462,Dermatological Agents,China,2018
MF 019915,Ophthalmic Agents,United States,2006
MF 019915,Inflammatory Bowel Disease Agents,United States,2006
MF 015464,Otic Agents,Taiwan,2001
MF 017599,,Poland,2004
MF 031208,,India,2017
MF 033085,,India,2018
MF 033308,,India,2018
MF 025382,,Netherlands,2011
MF 019532,,Sweden,2006
MF 019532,Dental and Oral Agents,Sweden,2006
MF 025830,,India,2012
MF 025830,Otic Agents,India,2012
MF 034109,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2019
MF 031114,,Italy,2016
MF 020685,,India,2007
MF 034201,,India,2019
MF 017143,,Spain,2004
MF 035507,,India,2020
MF 031082,Cardiovascular Agents,India,2016
MF 026503,Genitourinary Agents,India,2012
MF 026427,Genitourinary Agents,India,2012
MF 030566,,India,2016
MF 031804,Antineoplastics,China,2017
MF 028614,Gastrointestinal Agents,China,2014
MF 033928,,India,2019
MF 031265,,India,2016
MF 026963,,India,2013
MF 020162,,India,2007
MF 015022,Antibacterials,India,2000
MF 034888,,Taiwan,2020
MF 027435,,China,2013
MF 023618,,India,2010
MF 022196,,India,2008
MF 026299,,India,2012
MF 036285,,China,2021
MF 033208,,China,2019
MF 030813,,India,2016
MF 023747,Genitourinary Agents,India,2010
MF 029581,Genitourinary Agents,Spain,2015
MF 024765,Genitourinary Agents,India,2011
MF 022082,Analgesics,United States,2008
MF 028091,Anxiolytics,China,2014
MF 023416,,Republic Of Korea,2009
MF 020976,,Poland,2007
MF 027586,,Spain,2013
MF 035334,,India,2021
MF 022509,,Canada,2009
MF 033720,,India,2019
MF 030618,Electrolytes/Minerals/Metals/Vitamins,United Kingdom,2016
MF 023822,Antivirals,India,2010
MF 019181,Antivirals,India,2006
MF 035315,,India,2020
MF 033010,Antimigraine Agents,China,2018
MF 033010,Blood Products and Modifiers,China,2018
MF 016345,Gastrointestinal Agents,India,2002
MF 015149,Analgesics,Germany,2000
MF 029090,,India,2015
MF 036153,,China,2021
MF 017595,Analgesics,United States,2004
MF 032058,Dermatological Agents,Taiwan,2017
MF 024749,Respiratory Tract/Pulmonary Agents,China,2011
MF 025587,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2011
MF 034516,Otic Agents,India,2020
MF 020203,Ophthalmic Agents,China,2007
MF 031496,Antipsychotics,India,2017
MF 021222,Anti-addiction/Substance Abuse Treatment Agents,China,2007
MF 016476,Anti-obesity Agents,India,2003
MF 018306,Anti-addiction/Substance Abuse Treatment Agents,India,2005
MF 034285,Anti-addiction/Substance Abuse Treatment Agents,China,2019
MF 035260,Respiratory Tract/Pulmonary Agents,India,2020
MF 035260,,India,2020
MF 026366,,United States,2012
MF 017688,Genitourinary Agents,India,2004
MF 017007,Dermatological Agents,France,2003
MF 018929,Dermatological Agents,Spain,2005
MF 033093,Dental and Oral Agents,India,2018
MF 030721,,India,2016
MF 020658,,China,2007
MF 031183,,India,2016
MF 024955,,India,2011
MF 019388,Analgesics,India,2006
MF 031965,Blood Products and Modifiers,India,2017
MF 021064,Analgesics,India,2007
MF 021064,,India,2007
MF 017264,Cardiovascular Agents,France,2004
MF 016022,,United States,2002
MF 029603,,United States,2016
MF 034655,,India,2020
MF 034502,,China,2020
MF 024624,Ophthalmic Agents,India,2011
MF 029865,,India,2015
MF 031761,Ophthalmic Agents,India,2017
MF 022430,Ophthalmic Agents,Taiwan,2009
MF 019215,,India,2006
MF 020457,,India,2007
MF 022363,,India,2008
MF 022335,,India,2010
MF 030787,,India,2016
MF 031924,,China,2017
MF 030393,,China,2016
MF 023612,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2011
MF 035419,Contraceptives,Hungary,2020
MF 035970,,India,2021
MF 025753,,India,2012
MF 025261,,India,2011
MF 029576,,China,2015
MF 030243,Dermatological Agents,India,2016
MF 015172,,Spain,2000
MF 017311,,United States,2004
MF 016636,,India,2003
MF 019663,,India,2006
MF 019663,,,2006
MF 026967,,India,2013
MF 022900,,India,2009
MF 031686,,Italy,2017
MF 020036,Bipolar Agents,India,2006
MF 019884,Bipolar Agents,India,2006
MF 017469,Bipolar Agents,India,2004
MF 034440,Anticonvulsants,India,2019
MF 031437,Antimigraine Agents,India,2018
MF 020920,Antidepressants,India,2007
MF 027820,Antidepressants,India,2013
MF 032928,Antidepressants,India,2018
MF 023005,Blood Glucose Regulators,India,2009
MF 020037,Blood Glucose Regulators,India,2006
MF 035761,Blood Glucose Regulators,India,2021
MF 019749,Antineoplastics,India,2006
MF 020052,Metabolic Bone Disease Agents,India,2006
MF 029729,,China,2015
MF 025198,,Switzerland,2011
MF 020003,,India,2006
MF 030355,,China,2016
MF 031532,Inflammatory Bowel Disease Agents,Italy,2017
MF 015862,Dermatological Agents,Israel,2002
MF 019841,Bipolar Agents,India,2006
MF 019841,Antidepressants,India,2006
MF 019957,Antidepressants,Canada,2006
MF 025472,Antidepressants,India,2012
MF 023300,Antidepressants,India,2009
MF 019554,Antidepressants,India,2006
MF 018774,Antipsychotics,United States,2005
MF 018706,Antipsychotics,Italy,2005
MF 019982,Antidepressants,China,2006
MF 032354,Skeletal Muscle Relaxants,United States,2019
MF 029839,Antineoplastics,India,2015
MF 016856,Dermatological Agents,Israel,2003
MF 030950,,India,2016
MF 030924,Blood Glucose Regulators,Sweden,2016
MF 031479,Antiemetics,India,2017
MF 034248,Antipsychotics,India,2019
MF 033353,Antipsychotics,India,2018
MF 023437,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Switzerland,2010
MF 026016,Contraceptives,Switzerland,2012
MF 028047,,Argentina,2014
MF 021438,Antidepressants,India,2008
MF 024116,,India,2010
MF 022726,Contraceptives,India,2009
MF 027285,,India,2013
MF 017978,Anticonvulsants,India,2005
MF 035620,Cardiovascular Agents,India,2021
MF 035048,,India,2020
MF 022947,Electrolytes/Minerals/Metals/Vitamins,France,2009
MF 022947,Inflammatory Bowel Disease Agents,France,2009
MF 021263,Dermatological Agents,India,2008
MF 021263,Dental and Oral Agents,India,2008
MF 021263,Gastrointestinal Agents,India,2008
MF 031357,Electrolytes/Minerals/Metals/Vitamins,India,2017
MF 014693,Dermatological Agents,Italy,2000
MF 014693,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Italy,2000
MF 014693,Gastrointestinal Agents,Italy,2000
MF 024543,Antifungals,Italy,2011
MF 022633,Cardiovascular Agents,India,2009
MF 030354,Cardiovascular Agents,India,2016
MF 024321,Cardiovascular Agents,United States,2010
MF 024968,Cardiovascular Agents,India,2011
MF 030863,Central Nervous System Agents,India,2016
MF 029632,Central Nervous System Agents,India,2015
MF 028360,,India,2014
MF 028969,,China,2015
MF 017943,,India,2004
MF 025538,,Italy,2011
MF 026925,,India,2013
MF 025651,,India,2011
MF 025791,,Italy,2012
MF 032843,Skeletal Muscle Relaxants,India,2018
MF 016684,,India,2003
MF 019250,,India,2006
MF 035385,,India,2020
MF 023477,Electrolytes/Minerals/Metals/Vitamins,Italy,2010
MF 029058,Antibacterials,India,2015
MF 026847,Immunological Agents,China,2012
MF 036250,,China,2021
MF 030347,,India,2016
MF 036260,,India,2021
MF 025787,Antivirals,India,2012
MF 022641,Gastrointestinal Agents,Italy,2009
MF 026445,Inflammatory Bowel Disease Agents,India,2013
MF 026445,Respiratory Tract/Pulmonary Agents,India,2013
MF 027461,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",India,2014
MF 020010,Respiratory Tract/Pulmonary Agents,Italy,2006
MF 035859,Respiratory Tract/Pulmonary Agents,China,2021
MF 027451,Inflammatory Bowel Disease Agents,Canada,2013
MF 024753,,India,2011
MF 021519,,India,2008
MF 016212,Antifungals,Mexico,2002
MF 025013,Antifungals,India,2011
MF 014694,,Switzerland,2000
MF 031750,,India,2017
MF 023281,Cardiovascular Agents,India,2009
MF 016208,Cardiovascular Agents,India,2002
MF 034405,Anticonvulsants,India,2019
MF 035137,,India,2020
MF 026664,"Genetic, Enzyme, or Protein Disorder: Replacement, Modifiers, Treatment",Israel,2013
MF 029418,Ophthalmic Agents,Hungary,2015
MF 023423,Ophthalmic Agents,Taiwan,2009
MF 027202,Dermatological Agents,China,2013
MF 018908,Immunological Agents,India,2005
MF 022550,,India,2009
MF 018997,Electrolytes/Minerals/Metals/Vitamins,Netherlands,2005
MF 035634,Gastrointestinal Agents,India,2021
MF 017422,,China,2004
MF 027147,Central Nervous System Agents,India,2013
MF 026113,Central Nervous System Agents,India,2012
MF 024997,,India,2011
MF 017737,,India,2004
MF 032722,,Italy,2018
MF 014960,,Germany,2000
MF 020636,,Italy,2007
MF 019607,,India,2006
MF 030341,,India,2016
MF 036132,,India,2021
MF 028013,,India,2014
MF 020211,,India,2007
MF 017755,,Taiwan,2004
MF 030279,,India,2016
MF 024532,,India,2011
MF 020307,,India,2007
MF 026923,,Spain,2013
MF 027831,,India,2014
MF 017435,,India,2004
MF 028014,,India,2014
MF 030562,,India,2016
MF 024285,,India,2010
MF 032534,,India,2018
MF 024928,,United States,2012
MF 021622,,China,2008
MF 033223,,United States,2019
MF 028785,,China,2014
MF 032314,,China,2017
MF 021581,,Germany,2008
MF 024715,,India,2011
MF 021246,,India,2008
MF 015557,,India,2001
MF 028010,,India,2014
MF 025713,,India,2012
MF 026337,,Republic Of Korea,2013
MF 022047,,United States,2008
MF 026389,,Italy,2012
MF 014915,,United States,2000
MF 034768,,India,2020
MF 023533,,India,2010
MF 030511,,United States,2016
MF 023466,,India,2010
MF 021248,,Germany,2008
MF 035733,,Italy,2021
MF 027860,,India,2014
MF 016452,,Italy,2003
MF 022350,,India,2008
MF 028258,,Italy,2014
MF 025730,,India,2012
MF 021353,,United States,2008
MF 019217,,China,2006
MF 016919,,China,2003
MF 035550,,China,2021
MF 035551,,India,2021
MF 031656,,Mexico,2017
MF 030077,,India,2016
MF 019758,,Israel,2006
MF 030421,,India,2016
MF 025703,,India,2012
MF 023530,,China,2010
MF 036328,,India,2021
MF 023722,,India,2010
MF 028792,,United States,2014
MF 023945,,India,2010
MF 030741,,China,2016
MF 034569,,India,2020
MF 033396,,Spain,2019
MF 035727,,China,2021
MF 022209,,India,2008
MF 025200,,China,2011
MF 034039,,Austria,2020
MF 024947,,India,2011
MF 020103,,United States,2006
MF 023547,,Republic Of Korea,2010
MF 015417,,Belgium,2001
MF 025932,,Italy,2012
MF 025021,,Sweden,2011
MF 029782,,United States,2016
MF 029760,,China,2015
MF 033150,,India,2018
MF 023739,,India,2010
MF 030003,,France,2015
MF 020363,,India,2007
MF 029825,,India,2015
MF 034984,,China,2020
MF 021542,,China,2008
MF 036502,,China,2021
MF 030299,,India,2016
MF 025545,,Italy,2011
MF 024946,,Republic Of Korea,2011
MF 032825,,China,2018
MF 032519,,China,2018
MF 015062,,Japan,2000
MF 032864,,China,2018
MF 020510,,Israel,2007
MF 023442,,India,2010
MF 024530,,United Kingdom,2011
MF 027039,,India,2013
MF 023629,,India,2010
MF 026020,,India,2012
MF 026983,,China,2013
MF 020570,,India,2007
MF 029225,,United States,2015
MF 036282,,India,2021
MF 016264,,Mexico,2002
MF 023942,,China,2010
MF 022434,,India,2009
MF 026906,,Israel,2013
MF 029103,,Belgium,2015
MF 020462,,India,2007
MF 016737,,Germany,2003
MF 034108,,China,2019
MF 029793,,China,2015
MF 020906,,India,2007
MF 022760,,Germany,2009
MF 024847,,India,2011
MF 028789,,India,2014
MF 024354,,India,2010
MF 035408,,United States,2020
MF 030759,,India,2016
MF 028816,,Israel,2015
MF 024312,,,2010
MF 027041,,India,2013
MF 019449,,China,2006
MF 026061,,China,2012
MF 015629,,Denmark,2001
MF 033591,,Italy,2019
MF 029403,,India,2015
MF 025477,,Italy,2011
MF 029082,,China,2015
MF 026453,,China,2012
MF 026763,,China,2012
MF 022559,,United States,2009
MF 032079,,China,2017
MF 022670,,Macao,2009
MF 017840,,,2004
MF 025354,,India,2011
MF 028109,,China,2014
MF 023269,,India,2009
MF 036090,,China,2021
MF 036366,,China,2021
MF 034276,,Switzerland,2019
MF 021141,,China,2007
MF 019119,,Spain,2006
MF 021473,,United States,2008
MF 030578,,China,2016
MF 016271,,Argentina,2002
MF 023319,,United States,2009
MF 029056,,China,2015
MF 027816,,United States,2014
MF 033061,,India,2018
MF 026172,,China,2012
MF 022463,,China,2009
MF 024400,,Japan,2010
MF 030094,,United States,2015
MF 035714,,China,2021
MF 019993,,Italy,2006
MF 025228,,Italy,2011
MF 030901,,China,2016
MF 016608,,United States,2003
MF 031483,,United States,2017
MF 020488,,Czech Republic,2007
MF 020488,Gastrointestinal Agents,Czech Republic,2007
MF 021059,,India,2007
MF 015518,,India,2001
MF 028043,,Argentina,2014
MF 031544,Dermatological Agents,China,2017
MF 031544,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2017
MF 031544,Inflammatory Bowel Disease Agents,China,2017
MF 027836,,China,2013
MF 036568,,India,2021
MF 016278,Cardiovascular Agents,India,2002
MF 017599,Cardiovascular Agents,Poland,2004
MF 035217,,China,2020
MF 016873,Ophthalmic Agents,Brazil,2003
MF 018227,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Taiwan,2005
MF 019415,Dermatological Agents,Taiwan,2006
MF 019415,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Taiwan,2006
MF 018544,Genitourinary Agents,Switzerland,2005
MF 025889,,India,2012
MF 030183,,China,2015
MF 030723,Gastrointestinal Agents,United Kingdom,2016
MF 036094,Respiratory Tract/Pulmonary Agents,India,2021
MF 016871,,Spain,2003
MF 028770,,Italy,2014
MF 034142,,China,2019
MF 016789,Analgesics,China,2003
MF 026581,Antineoplastics,India,2012
MF 031564,Gastrointestinal Agents,United States,2017
MF 034526,Electrolytes/Minerals/Metals/Vitamins,Germany,2020
MF 016127,,Switzerland,2002
MF 030891,,India,2016
MF 032735,,India,2018
MF 017971,,China,2004
MF 020297,Electrolytes/Minerals/Metals/Vitamins,Italy,2007
MF 035582,,India,2021
MF 021319,Anti-obesity Agents,Italy,2008
MF 031764,,China,2017
MF 025247,,India,2011
MF 026351,,India,2012
MF 026122,,India,2012
MF 028122,,India,2014
MF 035278,,Italy,2021
MF 024540,,Spain,2011
MF 033910,Inflammatory Bowel Disease Agents,India,2019
MF 033496,,India,2018
MF 030238,,China,2016
MF 025581,Gastrointestinal Agents,India,2011
MF 018329,Blood Glucose Regulators,India,2005
MF 031143,Ophthalmic Agents,India,2016
MF 033334,Inflammatory Bowel Disease Agents,Italy,2018
MF 031423,Inflammatory Bowel Disease Agents,Malaysia,2017
MF 031423,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",Malaysia,2017
MF 018171,Central Nervous System Agents,Italy,2005
MF 033536,Anticonvulsants,India,2019
MF 033536,Central Nervous System Agents,India,2019
MF 019000,Central Nervous System Agents,India,2005
MF 030809,Anticonvulsants,India,2017
MF 034315,Central Nervous System Agents,China,2020
MF 016151,Anticonvulsants,Israel,2002
MF 034361,Cardiovascular Agents,China,2020
MF 023911,Cardiovascular Agents,Denmark,2010
MF 030601,,China,2016
MF 026035,Cardiovascular Agents,India,2012
MF 033352,Cardiovascular Agents,India,2019
MF 016977,Central Nervous System Agents,Taiwan,2003
MF 023947,"Hormonal Agents, Suppressant (Adrenal)",China,2010
MF 031976,,India,2018
MF 015684,Metabolic Bone Disease Agents,Sweden,2001
MF 019579,Metabolic Bone Disease Agents,Spain,2006
MF 032765,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Italy,2018
MF 032682,,India,2018
MF 035860,Blood Glucose Regulators,United States,2021
MF 033366,Anti-obesity Agents,United States,2020
MF 036549,Anti-obesity Agents,India,2021
MF 029703,,India,2015
MF 018839,,India,2005
MF 023589,,India,2010
MF 024725,Antidepressants,India,2011
MF 035186,Antidepressants,India,2020
MF 035186,Anxiolytics,India,2020
MF 027823,,India,2015
MF 033575,Respiratory Tract/Pulmonary Agents,India,2019
MF 032848,Cardiovascular Agents,India,2018
MF 032402,Central Nervous System Agents,India,2018
MF 032402,Respiratory Tract/Pulmonary Agents,India,2018
MF 027836,Respiratory Tract/Pulmonary Agents,China,2013
MF 026350,Antineoplastics,India,2013
MF 026738,Antineoplastics,China,2012
MF 017393,Cardiovascular Agents,India,2004
MF 019984,Cardiovascular Agents,India,2006
MF 015434,Cardiovascular Agents,India,2001
MF 024749,Antibacterials,China,2011
MF 031643,,China,2017
MF 028562,,India,2014
MF 034054,Metabolic Bone Disease Agents,Taiwan,2019
MF 026447,Metabolic Bone Disease Agents,India,2012
MF 024548,,China,2011
MF 035428,,China,2021
MF 031359,Genitourinary Agents,India,2017
MF 033862,,India,2019
MF 026669,Dermatological Agents,India,2015
MF 029217,,China,2015
MF 033569,,India,2019
MF 015128,Metabolic Bone Disease Agents,Japan,2000
MF 027419,Electrolytes/Minerals/Metals/Vitamins,India,2013
MF 032355,Electrolytes/Minerals/Metals/Vitamins,China,2018
MF 035784,,India,2021
MF 036477,Blood Glucose Regulators,India,2021
MF 031523,Blood Glucose Regulators,India,2017
MF 032881,Blood Glucose Regulators,India,2018
MF 032385,Blood Glucose Regulators,China,2017
MF 032570,Blood Glucose Regulators,India,2018
MF 025418,Antiemetics,India,2011
MF 020470,Antiemetics,India,2007
MF 033562,Cardiovascular Agents,India,2019
MF 033089,Cardiovascular Agents,India,2018
MF 024916,,India,2011
MF 019858,,China,2006
MF 032920,,India,2018
MF 032014,,India,2018
MF 036429,,India,2021
MF 029461,Cardiovascular Agents,China,2015
MF 027482,Antiemetics,India,2013
MF 030634,Cardiovascular Agents,United Kingdom,2016
MF 029429,Cardiovascular Agents,India,2015
MF 036032,Gastrointestinal Agents,India,2021
MF 036032,,India,2021
MF 035521,Antiparkinson Agents,India,2020
MF 016072,Cardiovascular Agents,Taiwan,2002
MF 019479,Cardiovascular Agents,India,2006
MF 019148,Cardiovascular Agents,Malta,2006
MF 016976,,Israel,2003
MF 029522,Antineoplastics,India,2015
MF 033600,,United States,2019
MF 035382,Antineoplastics,India,2020
MF 033065,Antineoplastics,India,2018
MF 026611,Central Nervous System Agents,Spain,2012
MF 030983,Central Nervous System Agents,India,2016
MF 024963,Antibacterials,China,2011
MF 034555,Antiparasitics,India,2020
MF 019673,,Brazil,2006
MF 032343,,India,2017
MF 035487,,India,2020
MF 032736,,India,2018
MF 021789,Respiratory Tract/Pulmonary Agents,Japan,2008
MF 022871,"Hormonal Agents, Stimulant/Replacement/Modifying (Pituitary)",India,2009
MF 028193,,India,2014
MF 017902,,India,2004
MF 028242,,Spain,2014
MF 035201,,India,2020
MF 016024,,India,2002
MF 021830,,Italy,2008
MF 030708,,India,2016
MF 024750,Cardiovascular Agents,Italy,2011
MF 022729,,India,2009
MF 022487,,China,2008
MF 032062,,Switzerland,2017
MF 032902,Central Nervous System Agents,India,2018
MF 035992,,India,2021
MF 030506,Central Nervous System Agents,India,2016
MF 035981,,India,2021
MF 026517,,India,2012
MF 031705,,United States,2017
MF 035989,,China,2021
MF 029286,,Brazil,2015
MF 025939,,Czech Republic,2012
MF 019413,,India,2006
MF 016735,,Spain,2003
MF 023170,Anticonvulsants,India,2009
MF 036164,Central Nervous System Agents,India,2021
MF 021307,Gastrointestinal Agents,India,2008
MF 021307,,India,2008
MF 031159,,India,2016
MF 030866,,India,2016
MF 021413,Antiparkinson Agents,Germany,2008
MF 022789,Antiparkinson Agents,India,2009
MF 028962,Antiparkinson Agents,Israel,2015
MF 027745,,Taiwan,2013
MF 027967,Antineoplastics,India,2014
MF 018448,Antineoplastics,Italy,2005
MF 021276,Genitourinary Agents,India,2008
MF 017575,Dermatological Agents,Hungary,2004
MF 027837,,China,2014
MF 022487,Dermatological Agents,China,2008
MF 032062,Dermatological Agents,Switzerland,2017
MF 016696,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",Italy,2003
MF 035983,Cardiovascular Agents,India,2021
MF 036406,Blood Products and Modifiers,India,2021
MF 021680,Blood Products and Modifiers,India,2008
MF 035022,Respiratory Tract/Pulmonary Agents,Israel,2021
MF 028059,Respiratory Tract/Pulmonary Agents,India,2014
MF 017513,Respiratory Tract/Pulmonary Agents,Switzerland,2004
MF 031851,Gastrointestinal Agents,Czech Republic,2017
MF 030550,,China,2016
MF 027293,,Italy,2013
MF 030972,,India,2016
MF 024002,Respiratory Tract/Pulmonary Agents,India,2010
MF 031310,,Japan,2017
MF 024879,,India,2011
MF 024879,Antifungals,India,2011
MF 021990,,India,2008
MF 034595,,United States,2020
MF 025181,,China,2011
MF 032871,Antiemetics,United States,2018
MF 032728,Inflammatory Bowel Disease Agents,India,2018
MF 032728,Ophthalmic Agents,India,2018
MF 031640,Antibacterials,China,2017
MF 024498,,United States,2010
MF 035544,,China,2021
MF 036370,,Spain,2021
MF 030376,"Hormonal Agents, Stimulant/Replacement/Modifying (Thyroid)",India,2016
MF 031783,Blood Products and Modifiers,India,2017
MF 029048,Blood Products and Modifiers,India,2015
MF 034436,Blood Products and Modifiers,China,2019
MF 032846,Blood Products and Modifiers,India,2019
MF 023039,Electrolytes/Minerals/Metals/Vitamins,Taiwan,2009
MF 025639,Electrolytes/Minerals/Metals/Vitamins,India,2011
MF 027494,,India,2013
MF 031182,,India,2016
MF 032539,,India,2018
MF 021355,Respiratory Tract/Pulmonary Agents,India,2008
MF 028570,,China,2014
MF 027376,Antineoplastics,Italy,2013
MF 030587,Antineoplastics,Taiwan,2016
MF 017233,,United States,2004
MF 034210,Blood Products and Modifiers,China,2019
MF 028923,Blood Products and Modifiers,China,2014
MF 022472,,India,2009
MF 019330,,India,2006
MF 025003,Antivirals,India,2011
MF 034979,,India,2020
MF 033636,Respiratory Tract/Pulmonary Agents,China,2019
MF 017186,Antineoplastics,India,2004
MF 018178,,United States,2005
MF 024598,,Italy,2011
MF 019848,Skeletal Muscle Relaxants,United States,2006
MF 019460,Analgesics,United States,2006
MF 030464,Antipsychotics,India,2016
MF 029191,Bipolar Agents,India,2015
MF 030092,Bipolar Agents,India,2015
MF 027963,Bipolar Agents,India,2014
MF 029163,Bipolar Agents,India,2015
MF 028723,Bipolar Agents,Italy,2014
MF 031238,,India,2016
MF 033499,Gastrointestinal Agents,China,2019
MF 036191,Gastrointestinal Agents,China,2021
MF 022974,Antidementia Agents,Spain,2009
MF 035236,Cardiovascular Agents,India,2021
MF 028046,,Argentina,2014
MF 018943,,India,2005
MF 021382,Ophthalmic Agents,Taiwan,2008
MF 024411,,United States,2011
MF 027981,Dermatological Agents,Spain,2014
MF 018707,Dermatological Agents,Italy,2005
MF 019551,Dermatological Agents,Israel,2006
MF 034040,Contraceptives,Germany,2019
MF 034040,Antifungals,Germany,2019
MF 032240,,United States,2018
MF 025426,,India,2011
MF 027302,Sleep Disorder Agents,India,2013
MF 020327,,Switzerland,2007
MF 024960,,United Kingdom,2011
MF 019751,,India,2006
MF 029145,,China,2015
MF 017312,,Taiwan,2004
MF 023522,,China,2010
MF 021188,Dermatological Agents,United Kingdom,2007
MF 027741,"Hormonal Agents, Stimulant/Replacement/Modifying (Adrenal)",China,2013
MF 019223,,India,2006
MF 034634,,India,2020
MF 028531,,China,2014
MF 026305,,China,2012
MF 029330,,India,2015
MF 016063,,Switzerland,2002
MF 020051,Antiemetics,India,2006
MF 031382,,India,2017
MF 034360,,Hungary,2019
MF 019765,,France,2006
MF 035296,,Switzerland,2020
MF 028995,,India,2015
MF 028612,Respiratory Tract/Pulmonary Agents,Italy,2014
MF 028287,,Italy,2014
MF 035336,,United States,2020
MF 029355,,China,2015
MF 025128,Contraceptives,India,2011
MF 027832,"Hormonal Agents, Suppressant (Pituitary)",India,2014
MF 032295,Contraceptives,India,2017
MF 022711,Cardiovascular Agents,India,2009
MF 022073,Cardiovascular Agents,China,2008
MF 027198,Cardiovascular Agents,China,2013
MF 033167,Cardiovascular Agents,India,2018
MF 027907,Blood Glucose Regulators,India,2014
MF 028748,Blood Glucose Regulators,India,2014
MF 032498,Blood Glucose Regulators,India,2018
MF 030721,Anticonvulsants,India,2016
MF 016172,Antiemetics,Spain,2002
MF 021650,"Hormonal Agents, Stimulant/Replacement/Modifying (Sex Hormones/Modifiers)",India,2008
MF 026924,,Malta,2013
MF 036165,,India,2021
MF 036264,,India,2021
MF 036028,,India,2021
MF 023663,Antivirals,India,2010
MF 025174,,Poland,2011
MF 021239,Antigout Agents,India,2008
MF 020271,,India,2007
MF 034094,,India,2019
MF 017720,,India,2004
MF 025499,,China,2011
