Products,Manufacturer,Manufacturing type,City,Country,Activeness,Volume,Lat,Long
Msvmvdcdtarpvszo,Dkargpbeoxsectrj,Upstream,Fairfax,United States,Unconfirmed,832.7662987,39.36046373,71.41792626
Iuxtldwnkillyayi,Msvmvdcdtarpvszo,Downstream,Clifton,United States,Yes,824.1304401,-43.10379126,73.99338862
Cmeffptjkhkynaed,Iuxtldwnkillyayi,Upstream,Beijing,China,Yes,68.00800975,-31.19927581,77.46265961
Hzprmxjtlfblrrxb,Cmeffptjkhkynaed,Downstream,Mumbai,India,Yes,935.5280141,31.09246628,5.331921405
Kfhhfrgavavckfbv,Hzprmxjtlfblrrxb,Upstream,Berlin,Germany,Yes,457.1108896,-16.20761611,5.274426905
Pjryftzjuzeordjc,Kfhhfrgavavckfbv,Upstream,Fairfax,United States,Yes,371.0444953,-25.48616114,-23.6045786
Rfxqingnypeudrut,Pjryftzjuzeordjc,Downstream,Clifton,United States,Unconfirmed,482.7454972,11.90618237,-28.81465925
Oikvnxuxjwyvyjhq,Rfxqingnypeudrut,Upstream,Beijing,China,Unconfirmed,700.0302575,-9.444138348,-22.84673779
Pfzpgdessfyrkcmk,Oikvnxuxjwyvyjhq,Downstream,Mumbai,India,Unconfirmed,949.8712918,40.12499961,32.05931298
Esibghedrqwbrkka,Pfzpgdessfyrkcmk,Upstream,Berlin,Germany,Yes,964.7694462,22.09005443,-75.68008603
Xjkftctuuyeuvnty,Esibghedrqwbrkka,Upstream,Fairfax,United States,Yes,327.2935981,20.99590574,-59.79887685
Glcgtajpvlrniqto,Xjkftctuuyeuvnty,Downstream,Clifton,United States,Yes,30.45346243,12.4121989,-47.23562839
Jjmpytjluukxnzug,Glcgtajpvlrniqto,Upstream,Beijing,China,Yes,876.7489606,34.54585035,-84.45401222
Mwrrcszdminvmydf,Jjmpytjluukxnzug,Downstream,Mumbai,India,Yes,949.5695112,7.892563341,-42.77262389
Njlooglownlsqdnu,Mwrrcszdminvmydf,Upstream,Berlin,Germany,Unconfirmed,216.9716447,-27.67646926,68.98729745
Notzjtirwphrpojp,Njlooglownlsqdnu,Upstream,Fairfax,United States,Yes,918.8585013,-4.574002019,15.0120161
Uevhqfzozwdfhymh,Notzjtirwphrpojp,Downstream,Clifton,United States,Yes,734.5556365,-44.76143494,-80.92748557
Rnulgtfkaswhtqjg,Uevhqfzozwdfhymh,Upstream,Beijing,China,Yes,416.5753501,9.923249755,1.771031804
Plxdzfwdkwtiuhth,Rnulgtfkaswhtqjg,Downstream,Mumbai,India,Unconfirmed,853.887139,-41.3783956,-59.84346685
Kxkdhinjxltpgjdq,Plxdzfwdkwtiuhth,Upstream,Berlin,Germany,Yes,688.3605517,-9.23906014,-35.99383822
Zwplpfcfdabwflgu,Kxkdhinjxltpgjdq,Upstream,Fairfax,United States,Yes,620.0033259,21.08406738,71.19993198
Hiuyjjxsxkdssdjt,Zwplpfcfdabwflgu,Downstream,Clifton,United States,Yes,695.7844885,19.43667464,86.77625106
Waouypzifpwssrym,Hiuyjjxsxkdssdjt,Upstream,Beijing,China,Unconfirmed,356.4450998,-4.941928408,31.60929449
Tpsomavtkbsgofsw,Waouypzifpwssrym,Downstream,Mumbai,India,Unconfirmed,190.6874976,-42.79542954,-55.7562956
Mfeldcmumbayhchw,Tpsomavtkbsgofsw,Upstream,Berlin,Germany,Yes,953.2112878,17.56660021,-40.40973061
Ilyqxijiycwouwhp,Mfeldcmumbayhchw,Upstream,Fairfax,United States,Yes,451.8228995,2.712114759,74.34284541
Uzskrhhxyqvndydr,Ilyqxijiycwouwhp,Downstream,Clifton,United States,Yes,0.547425735,6.290183041,51.7120792
Isloqavxfhgqnnee,Uzskrhhxyqvndydr,Upstream,Beijing,China,Unconfirmed,531.4205224,-0.672009151,2.977555598
Uwtkumlkvjbacyyv,Isloqavxfhgqnnee,Downstream,Mumbai,India,Unconfirmed,813.7672562,44.25345879,-43.78237999
Lvbjhbvtjvbozgon,Uwtkumlkvjbacyyv,Upstream,Berlin,Germany,Yes,751.3438252,15.61638018,-24.16838271
Dlfdykgtkkziexgd,Lvbjhbvtjvbozgon,Upstream,Fairfax,United States,Yes,664.0258674,-19.19559488,10.28055511
Fuzfrsmtusbbatrn,Dlfdykgtkkziexgd,Downstream,Clifton,United States,Unconfirmed,868.1232931,-0.823527761,-7.934001812
Xvvrddvxsjdvwbhg,Fuzfrsmtusbbatrn,Upstream,Beijing,China,Unconfirmed,471.9089161,40.7953006,-35.68494461
Gfmukuuvzvdtrqtt,Xvvrddvxsjdvwbhg,Downstream,Mumbai,India,Unconfirmed,697.6355691,-21.27578342,53.20416826
Rgoqemxpmbkoqnnf,Gfmukuuvzvdtrqtt,Upstream,Berlin,Germany,Yes,365.5660491,-33.31429399,26.54562931
Iisanqpmyeolaipe,Rgoqemxpmbkoqnnf,Upstream,Fairfax,United States,Unconfirmed,799.804935,22.29229504,22.93410545
Sgufbkuqxxnxgpfx,Iisanqpmyeolaipe,Downstream,Clifton,United States,Unconfirmed,392.8384059,-27.41698724,-21.25776337
Zrrmippftpapggka,Sgufbkuqxxnxgpfx,Upstream,Beijing,China,Yes,633.1312964,17.42478782,-74.56701351
Hbudbihegcxkglbu,Zrrmippftpapggka,Downstream,Mumbai,India,Yes,438.4496383,-18.66473911,-7.333776383
Qvxsafuowjynwebc,Hbudbihegcxkglbu,Upstream,Berlin,Germany,Yes,545.5029701,-38.68604057,-89.13849758
Vxhsylsxutqnnbyr,Qvxsafuowjynwebc,Upstream,Fairfax,United States,Yes,881.8701631,-6.807815979,32.14643446
Jtwehrqdvtlhodze,Vxhsylsxutqnnbyr,Downstream,Clifton,United States,Unconfirmed,924.2302787,19.58939337,-36.09007201
Nwwbsupuizwmzlxu,Jtwehrqdvtlhodze,Upstream,Beijing,China,Yes,413.0888681,33.97755385,84.76840392
Ofjvggrwqmadwhsq,Nwwbsupuizwmzlxu,Downstream,Mumbai,India,Unconfirmed,734.8733011,-17.489812,-79.76785455
Tqtjkaowtjxdzzrl,Ofjvggrwqmadwhsq,Upstream,Berlin,Germany,Unconfirmed,93.97562394,27.64341757,-62.16113175
Qiaxbdripdtybdyo,Tqtjkaowtjxdzzrl,Upstream,Fairfax,United States,Unconfirmed,486.3413316,-7.839440484,56.6275549
Iixvuasszyjvnoij,Qiaxbdripdtybdyo,Downstream,Clifton,United States,Unconfirmed,329.8009748,43.8940482,-82.55533345
Bahaekpyxwcvynrh,Iixvuasszyjvnoij,Upstream,Beijing,China,Yes,583.4315834,-15.69811467,-4.519208726
Risgklqvtxmsmrui,Bahaekpyxwcvynrh,Downstream,Mumbai,India,Yes,23.63025056,-42.98741805,70.87164844
Erquwimaijwwggap,Risgklqvtxmsmrui,Upstream,Berlin,Germany,Yes,906.2801944,18.25708094,83.23111834
Uomnvshmzefgnxul,Erquwimaijwwggap,Upstream,Fairfax,United States,Yes,14.66404874,11.60845962,-28.77902283
Gxtiegbxhkybebga,Uomnvshmzefgnxul,Downstream,Clifton,United States,Unconfirmed,952.1037861,22.96219294,6.947063548
Hnjjrkiprsazyjhx,Gxtiegbxhkybebga,Upstream,Beijing,China,Yes,893.9009784,-19.42063474,46.41352709
Layupolrxrobhjzl,Hnjjrkiprsazyjhx,Downstream,Mumbai,India,Yes,48.98286037,-11.2900968,26.47806145
Upxwdxzkxefmrtwg,Layupolrxrobhjzl,Upstream,Berlin,Germany,Unconfirmed,599.8171725,22.09970193,86.31158674
Drxqricfuwzdbnol,Upxwdxzkxefmrtwg,Upstream,Fairfax,United States,Unconfirmed,226.7500293,37.11928873,-15.26237843
Zbughvzzzjpfxobn,Drxqricfuwzdbnol,Downstream,Clifton,United States,Unconfirmed,635.905063,-21.87174522,8.230264438
Rfijivbijfpvnweg,Zbughvzzzjpfxobn,Upstream,Beijing,China,Unconfirmed,792.2613624,-13.94851257,14.25567593
Hgpyypjdknhzrzab,Rfijivbijfpvnweg,Downstream,Mumbai,India,Yes,421.6798691,-12.92581863,-60.43516448
Etunbezubzdypbnm,Hgpyypjdknhzrzab,Upstream,Berlin,Germany,Unconfirmed,893.9123432,12.10875878,-54.21619154
Kcrufkvuqgympjww,Etunbezubzdypbnm,Upstream,Fairfax,United States,Unconfirmed,585.6994399,19.85010069,10.59778971
Ocrwuwifqjliewdy,Kcrufkvuqgympjww,Downstream,Clifton,United States,Yes,719.7217002,30.56333145,11.00043422
Srgrhmcxbycjwsjm,Ocrwuwifqjliewdy,Upstream,Beijing,China,Unconfirmed,668.014874,-34.37531398,-62.67312503
Gfmzkvbptuecjcok,Srgrhmcxbycjwsjm,Downstream,Mumbai,India,Unconfirmed,783.5606545,35.96176783,-39.0001827
Gptdiqkqsnxphihs,Gfmzkvbptuecjcok,Upstream,Berlin,Germany,Unconfirmed,524.648048,-37.26822765,-1.537302636
Yhkeaqsgerasvhsm,Gptdiqkqsnxphihs,Upstream,Fairfax,United States,Yes,231.1981937,-34.47225152,69.46246365
Ehocjznqxwuolpbp,Yhkeaqsgerasvhsm,Downstream,Clifton,United States,Yes,279.166235,23.59754955,-9.246022073
Uzwvcsmtcsidayrl,Ehocjznqxwuolpbp,Upstream,Beijing,China,Unconfirmed,251.0505,-35.34498944,-54.83928215
Aqgbfarajovfaprg,Uzwvcsmtcsidayrl,Downstream,Mumbai,India,Unconfirmed,284.2793116,-16.18005008,74.75069468
Ufovlflaozmharno,Aqgbfarajovfaprg,Upstream,Berlin,Germany,Unconfirmed,183.8458215,-12.33963594,70.74051544
Tmbdsdphisjqayha,Ufovlflaozmharno,Upstream,Fairfax,United States,Yes,47.35768574,-39.05162442,63.74864938
Tjtmdqfuipgajhgf,Tmbdsdphisjqayha,Downstream,Clifton,United States,Unconfirmed,88.42807073,-18.9928895,-41.78347655
Qdunelcmbtvkyqep,Tjtmdqfuipgajhgf,Upstream,Beijing,China,Yes,709.1787535,18.95946962,80.07731096
Ssrzgdloipjblpaw,Qdunelcmbtvkyqep,Downstream,Mumbai,India,Yes,341.695159,11.53579143,-34.39948018
Tvstxrgdtjtroysz,Ssrzgdloipjblpaw,Upstream,Berlin,Germany,Unconfirmed,885.9285148,-14.19468423,-75.77104518
Uplckmpjmmimkwhc,Tvstxrgdtjtroysz,Upstream,Fairfax,United States,Unconfirmed,247.0513461,8.458983657,-71.05335405
Ibbyqnxqlytiklva,Uplckmpjmmimkwhc,Downstream,Clifton,United States,Yes,424.9176108,-43.86872769,-78.62404708
Gtzyuztgmwovpbhu,Ibbyqnxqlytiklva,Upstream,Beijing,China,Unconfirmed,209.7084386,17.56059539,40.30390685
Esqlidfpxadykbfz,Gtzyuztgmwovpbhu,Downstream,Mumbai,India,Yes,965.1650505,18.78605993,-20.69917325
Xspuzxbwbohxozlt,Esqlidfpxadykbfz,Upstream,Berlin,Germany,Unconfirmed,412.5525793,-2.981651364,83.03954583
Wtvvfyazkqmzkfvf,Xspuzxbwbohxozlt,Upstream,Fairfax,United States,Unconfirmed,666.0476443,4.993903566,18.72053573
Uhhecyjjvyqzgfbb,Wtvvfyazkqmzkfvf,Downstream,Clifton,United States,Unconfirmed,400.5120088,7.228737359,-1.235510384
Qayjjolzcxttcjbz,Uhhecyjjvyqzgfbb,Upstream,Beijing,China,Unconfirmed,124.9138445,13.50109581,63.6423345
Pytelnjsnhrauaaz,Qayjjolzcxttcjbz,Downstream,Mumbai,India,Yes,886.0904751,-31.36832101,68.40192094
Ymqpguptmwrlpdks,Pytelnjsnhrauaaz,Upstream,Berlin,Germany,Yes,984.764867,-30.98141906,-16.53215234
Fwuuoklqtjwmxiwm,Ymqpguptmwrlpdks,Upstream,Fairfax,United States,Unconfirmed,14.89119811,-26.82138868,-81.60532769
Jghwvkkvjdkxikmr,Fwuuoklqtjwmxiwm,Downstream,Clifton,United States,Unconfirmed,199.9217002,-4.781651526,-76.69984268
Caxehgseooanuowy,Jghwvkkvjdkxikmr,Upstream,Beijing,China,Unconfirmed,496.025944,-34.15417701,62.04681296
Mtcrekliqueztcpe,Caxehgseooanuowy,Downstream,Mumbai,India,Yes,614.663696,26.10713666,-64.29626368
Ykcsgsnqaqeeyajd,Mtcrekliqueztcpe,Upstream,Berlin,Germany,Unconfirmed,320.9656423,-16.46694961,26.65616728
Gbbxiutlhhqbfuqx,Ykcsgsnqaqeeyajd,Upstream,Fairfax,United States,Unconfirmed,122.1003719,-22.67545725,-47.00816201
Xbipqjrpfggdoxhg,Gbbxiutlhhqbfuqx,Downstream,Clifton,United States,Unconfirmed,267.8907994,3.236477249,0.074455531
Bhuseqrkhwalsehv,Xbipqjrpfggdoxhg,Upstream,Beijing,China,Unconfirmed,361.9204821,-22.1598178,-62.06050321
Qyrjdzlaltbziilh,Bhuseqrkhwalsehv,Downstream,Mumbai,India,Yes,783.5638836,-2.867533576,-81.25018623
Vsflxxzmmluibtjo,Qyrjdzlaltbziilh,Upstream,Berlin,Germany,Yes,768.9254051,0.341201192,39.59649755
Nwdwohkdaegmtjna,Vsflxxzmmluibtjo,Upstream,Fairfax,United States,Unconfirmed,344.6140525,-13.29869762,70.33991182
Yeeabhdgjwuhqqma,Nwdwohkdaegmtjna,Downstream,Clifton,United States,Unconfirmed,793.5700875,-7.092560507,59.99864424
Sizgvkplzkoridfr,Yeeabhdgjwuhqqma,Upstream,Beijing,China,Unconfirmed,496.8330322,29.34731228,87.61401172
Akptyrzfurqczuaf,Sizgvkplzkoridfr,Downstream,Mumbai,India,Unconfirmed,643.2236579,-38.25845279,36.64129644
Xyejoymumxjjwdjo,Akptyrzfurqczuaf,Upstream,Berlin,Germany,Yes,379.8508381,12.73026717,-82.83813056
Jsyaasmoczhyhuuq,Xyejoymumxjjwdjo,Upstream,Fairfax,United States,Yes,88.95347396,-10.85388856,-63.53345853
Ylxtqdxrjbhedvji,Jsyaasmoczhyhuuq,Downstream,Clifton,United States,Yes,413.9244497,-15.49061433,79.2761361
Eqvgnvakhjqicevi,Ylxtqdxrjbhedvji,Upstream,Beijing,China,Yes,374.5533955,29.86048447,89.77679604
Utnkgpcctumpozmi,Eqvgnvakhjqicevi,Downstream,Mumbai,India,Unconfirmed,985.3097176,11.65352746,5.460646241
Fzscpufgqpskociz,Utnkgpcctumpozmi,Upstream,Berlin,Germany,Unconfirmed,517.3503738,27.69002489,76.57259917
Wmcpwufpniwzseye,Fzscpufgqpskociz,Upstream,Fairfax,United States,Yes,536.4727568,-37.57498702,-43.25486003
Xfkdmgceazabebph,Wmcpwufpniwzseye,Downstream,Clifton,United States,Yes,123.6264758,-28.89235453,51.29306007
Ckrmeglrggtmjcwq,Xfkdmgceazabebph,Upstream,Beijing,China,Yes,221.3323834,-40.72446377,-1.964599397
Rwvontkibkptlzju,Ckrmeglrggtmjcwq,Downstream,Mumbai,India,Unconfirmed,738.1918903,41.82405329,20.69652741
Jexmqtwcippbdonz,Rwvontkibkptlzju,Upstream,Berlin,Germany,Unconfirmed,221.0191028,-10.92992748,-6.308955792
Vwwzysbbuejxfjsu,Jexmqtwcippbdonz,Upstream,Fairfax,United States,Yes,223.295667,-19.19081188,50.83917312
Jglsuaxpczuvdbwe,Vwwzysbbuejxfjsu,Downstream,Clifton,United States,Yes,713.0790492,-29.33372459,54.45732127
Njavosbwliigqrfw,Jglsuaxpczuvdbwe,Upstream,Beijing,China,Unconfirmed,840.4612985,42.56135357,50.80050884
Vgmsfweqrlvfigyu,Njavosbwliigqrfw,Downstream,Mumbai,India,Unconfirmed,994.8228437,-17.75667033,12.71117231
Kjnspbkqberxutdk,Vgmsfweqrlvfigyu,Upstream,Berlin,Germany,Yes,171.4068661,33.27911137,-15.97965019
Pprjrlqmfonzvxgz,Kjnspbkqberxutdk,Upstream,Fairfax,United States,Unconfirmed,81.85803805,0.313991827,-13.84446724
Sjibxzvvugmyhadi,Pprjrlqmfonzvxgz,Downstream,Clifton,United States,Yes,315.3558142,-10.76643482,63.22309224
Sctcnhpxospmklro,Sjibxzvvugmyhadi,Upstream,Beijing,China,Yes,421.0606625,20.1525793,-9.809778394
Wqljadirhmozqnxp,Sctcnhpxospmklro,Downstream,Mumbai,India,Yes,653.0169644,12.72957848,25.17900096
Mxtourqbgpriholy,Wqljadirhmozqnxp,Upstream,Berlin,Germany,Yes,94.62421752,36.67397358,-25.79648729
Rtjztqhydvjwupcg,Mxtourqbgpriholy,Upstream,Fairfax,United States,Unconfirmed,235.8085527,-11.5567073,-33.25345241
Fxlnnakcusnvrjrz,Rtjztqhydvjwupcg,Downstream,Clifton,United States,Unconfirmed,555.1270541,-21.93154275,-13.04030802
Aruoqitghqnldsgy,Fxlnnakcusnvrjrz,Upstream,Beijing,China,Unconfirmed,10.32418783,20.07217384,-46.1305654
Ecgchruuaorkfquv,Aruoqitghqnldsgy,Downstream,Mumbai,India,Unconfirmed,429.4900083,-4.012843985,3.889824605
Ylriglffuaozjjci,Ecgchruuaorkfquv,Upstream,Berlin,Germany,Unconfirmed,383.1189793,-8.004797411,73.59316533
Glfhohgytrgqikem,Ylriglffuaozjjci,Upstream,Fairfax,United States,Unconfirmed,480.1367666,28.27711548,33.9238766
Apblzhfhnkzzjgue,Glfhohgytrgqikem,Downstream,Clifton,United States,Yes,498.5064115,33.14124671,76.34544413
Aghsgbmajuabpehg,Apblzhfhnkzzjgue,Upstream,Beijing,China,Unconfirmed,357.1161396,-24.04537256,-34.60312202
Aqgduzbqdyspvksn,Aghsgbmajuabpehg,Downstream,Mumbai,India,Unconfirmed,459.7481309,-28.51263988,13.41011151
Tczmimhuisgbquvq,Aqgduzbqdyspvksn,Upstream,Berlin,Germany,Unconfirmed,807.9558842,-43.46245446,-73.31291597
Gcdvpxipslhkbzqp,Tczmimhuisgbquvq,Upstream,Fairfax,United States,Yes,859.5208179,38.90786152,89.29373312
Ljrrolfnkisnzbrk,Gcdvpxipslhkbzqp,Downstream,Clifton,United States,Unconfirmed,326.048712,0.935609562,-4.529243394
Seujcozcginlvcqw,Ljrrolfnkisnzbrk,Upstream,Beijing,China,Yes,47.42653437,20.86566559,6.554278721
Nkmtaywxbrxxbgge,Seujcozcginlvcqw,Downstream,Mumbai,India,Unconfirmed,181.5310461,-1.506403103,-19.57776728
Wbwtaymzcvaqzxfa,Nkmtaywxbrxxbgge,Upstream,Berlin,Germany,Unconfirmed,886.8134765,17.42733105,82.56960234
Idczuuresbywdpqw,Wbwtaymzcvaqzxfa,Upstream,Fairfax,United States,Yes,9.983791847,6.651791824,-75.02892718
Suepjkdynyuwvmux,Idczuuresbywdpqw,Downstream,Clifton,United States,Unconfirmed,431.9937458,22.01397244,-44.4853255
Bmehnaiojptnabye,Suepjkdynyuwvmux,Upstream,Beijing,China,Unconfirmed,392.9007707,-22.29910275,-78.89780204
Ucgdgfmqxgehmcyv,Bmehnaiojptnabye,Downstream,Mumbai,India,Unconfirmed,356.9087949,-21.8911527,-9.294148711
Iunwiwrxqoiwqkim,Ucgdgfmqxgehmcyv,Upstream,Berlin,Germany,Unconfirmed,591.2433503,-9.711317316,70.87406168
Bprcvuuedtvybtlj,Iunwiwrxqoiwqkim,Upstream,Fairfax,United States,Unconfirmed,679.8336686,-5.692974313,-65.57350872
Zuwcfmfuhxvwosth,Bprcvuuedtvybtlj,Downstream,Clifton,United States,Unconfirmed,38.73384229,-31.74793368,-80.55789656
Funrnlysalxgmhqu,Zuwcfmfuhxvwosth,Upstream,Beijing,China,Unconfirmed,980.0335174,-0.831597331,-20.08968567
Egcekatvqwmxkohj,Funrnlysalxgmhqu,Downstream,Mumbai,India,Yes,765.7364145,1.628557037,14.05702835
Ejysvawqsapsnktl,Egcekatvqwmxkohj,Upstream,Berlin,Germany,Yes,783.2424184,-25.57679468,4.759587572
Jbavhkxvdowjpfxh,Ejysvawqsapsnktl,Upstream,Fairfax,United States,Unconfirmed,376.7449886,38.41326295,20.32353474
Crbldeemvymhivph,Jbavhkxvdowjpfxh,Downstream,Clifton,United States,Unconfirmed,893.8016172,-0.283517269,70.99017001
Ohuouuqijvmhiekr,Crbldeemvymhivph,Upstream,Beijing,China,Yes,561.7312629,-0.883717174,34.91882738
Zaopceallreconwk,Ohuouuqijvmhiekr,Downstream,Mumbai,India,Unconfirmed,335.65469,-3.516145484,62.01056643
Ibgyoqdpqbngwulk,Zaopceallreconwk,Upstream,Berlin,Germany,Yes,474.9549527,19.79643029,-58.35799107
Zukfadlyujqopdhp,Ibgyoqdpqbngwulk,Upstream,Fairfax,United States,Unconfirmed,676.3355684,3.725003423,46.87087808
Ykkfdzpbvvoygfjb,Zukfadlyujqopdhp,Downstream,Clifton,United States,Yes,224.8220141,-8.524410901,31.23275596
Ykotgoaqlmnvcklm,Ykkfdzpbvvoygfjb,Upstream,Beijing,China,Unconfirmed,571.5213973,32.47901238,-41.35462673
Zmopwursrxiohukj,Ykotgoaqlmnvcklm,Downstream,Mumbai,India,Yes,301.8777171,24.54144328,-83.6060607
Ztlqlaohfwfafvre,Zmopwursrxiohukj,Upstream,Berlin,Germany,Yes,846.6072653,-44.5053558,79.1243365
Yibvegdfmdtwbjxs,Ztlqlaohfwfafvre,Upstream,Fairfax,United States,Unconfirmed,993.0938108,36.81252125,-83.84630783
Ehvdmyphwyarzyko,Yibvegdfmdtwbjxs,Downstream,Clifton,United States,Yes,464.3736989,-24.0165048,40.57772191
Yrbtdqgmpqkjyjmr,Ehvdmyphwyarzyko,Upstream,Beijing,China,Yes,122.3300938,-43.70595472,-78.34059297
Lukpyftpjwvrbmks,Yrbtdqgmpqkjyjmr,Downstream,Mumbai,India,Yes,437.5548222,1.190573457,76.31658166
Lfryxxiztleewmwi,Lukpyftpjwvrbmks,Upstream,Berlin,Germany,Yes,824.5056741,-30.14216948,-44.96934958
Qfeuisdopwvhqden,Lfryxxiztleewmwi,Upstream,Fairfax,United States,Yes,946.9017556,-15.65741733,50.78032777
Pekmvfpjfeqiimuo,Qfeuisdopwvhqden,Downstream,Clifton,United States,Yes,45.65204456,-30.50653654,13.23908185
Tcufdhmlcmacyaud,Pekmvfpjfeqiimuo,Upstream,Beijing,China,Unconfirmed,510.2571794,15.53430694,-85.86210202
Weujgxxjyyjdcvlp,Tcufdhmlcmacyaud,Downstream,Mumbai,India,Unconfirmed,327.7992745,20.13975236,63.91464747
Fdkpzkrfkjxpvndy,Weujgxxjyyjdcvlp,Upstream,Berlin,Germany,Yes,210.069484,9.781740855,-48.25243158
Tpichxoanahtzqae,Fdkpzkrfkjxpvndy,Upstream,Fairfax,United States,Unconfirmed,823.4313745,12.14301633,-18.86504952
Ohggvakxxurqdzqh,Tpichxoanahtzqae,Downstream,Clifton,United States,Yes,172.5165591,-16.94381272,71.40809268
Errwrzadfawiczse,Ohggvakxxurqdzqh,Upstream,Beijing,China,Yes,712.0597826,-20.9049526,68.09376134
Icmkpfwayblphdcd,Errwrzadfawiczse,Downstream,Mumbai,India,Unconfirmed,734.9216139,-0.801632257,72.54891044
Rrrccseapprujeem,Icmkpfwayblphdcd,Upstream,Berlin,Germany,Unconfirmed,286.2611354,2.020272985,-86.32813048
Jidykmursjbnvoji,Rrrccseapprujeem,Upstream,Fairfax,United States,Unconfirmed,838.987034,27.53598329,45.05503877
Abawhirqzysxcaeq,Jidykmursjbnvoji,Downstream,Clifton,United States,Yes,470.055634,-7.680866931,-85.4532852
Zufajatminwulwdj,Abawhirqzysxcaeq,Upstream,Beijing,China,Unconfirmed,351.7631625,-26.54027555,55.59266558
Fudoeqaaqmqbqebu,Zufajatminwulwdj,Downstream,Mumbai,India,Yes,653.9738617,-11.04098712,9.449629334
Kmupssfhsaiojybk,Fudoeqaaqmqbqebu,Upstream,Berlin,Germany,Yes,155.0828852,-42.82689398,66.73665145
Mhvychkdbkdfkizh,Kmupssfhsaiojybk,Upstream,Fairfax,United States,Unconfirmed,432.9118864,2.162018654,-29.46411491
Erhlibimmujzmcny,Mhvychkdbkdfkizh,Downstream,Clifton,United States,Unconfirmed,52.38046656,-42.74788742,-43.78404825
Veuyisiakuatkraf,Erhlibimmujzmcny,Upstream,Beijing,China,Yes,27.72974044,29.46664348,-76.09189768
Qaxhaacgdfgtegrq,Veuyisiakuatkraf,Downstream,Mumbai,India,Unconfirmed,221.8985277,-20.98183465,50.37110505
Voscwforepkxvnmr,Qaxhaacgdfgtegrq,Upstream,Berlin,Germany,Yes,684.0811184,6.698587161,-24.56842592
Kwihudrywkdfehfc,Voscwforepkxvnmr,Upstream,Fairfax,United States,Yes,582.7844769,-15.56828865,66.44439611
Anuesatyrbeojdyd,Kwihudrywkdfehfc,Downstream,Clifton,United States,Unconfirmed,638.4230241,37.3584666,-19.1986286
Zksqeoadwroqokoa,Anuesatyrbeojdyd,Upstream,Beijing,China,Unconfirmed,694.1117154,-22.48209099,31.50911979
Fcsvifuerhreqwvi,Zksqeoadwroqokoa,Downstream,Mumbai,India,Yes,698.4260766,-26.43823433,-12.43458267
Plwwxruqrcfwxlyr,Fcsvifuerhreqwvi,Upstream,Berlin,Germany,Unconfirmed,871.002396,-41.29202063,45.22422582
Yewwxrvxbotspasf,Plwwxruqrcfwxlyr,Upstream,Fairfax,United States,Unconfirmed,409.2157764,10.65039224,51.28507639
Bbclojbjfitmyzpp,Yewwxrvxbotspasf,Downstream,Clifton,United States,Unconfirmed,503.7146398,35.41076673,-84.70704598
Lcwmpplpgojjpknt,Bbclojbjfitmyzpp,Upstream,Beijing,China,Unconfirmed,782.2737203,-29.29759035,-61.94680838
Ibtljboacbmdlftf,Lcwmpplpgojjpknt,Downstream,Mumbai,India,Yes,324.5681013,-17.23795312,-50.21611457
Jxzhaaptbeswhfjy,Ibtljboacbmdlftf,Upstream,Berlin,Germany,Unconfirmed,416.2498797,-21.77507474,83.41818846
